project_id,client_id,client_name,project_name,project_start_date,project_end_date,monthly_budget_eur
1,1,Client_1,Main Campaign,2024-01-01,2024-12-31,5000.0
2,2,Client_2,Main Campaign,2024-01-01,2024-12-31,5000.0
3,3,Client_3,Main Campaign,2024-01-01,2024-12-31,5000.0
4,4,Client_4,Main Campaign,2024-01-01,2024-12-31,5000.0
5,5,Client_5,Main Campaign,2024-01-01,2024-12-31,5000.0
6,6,Client_6,Main Campaign,2024-01-01,2024-12-31,5000.0
7,7,Client_7,Main Campaign,2024-01-01,2024-12-31,5000.0
8,8,Client_8,Main Campaign,2024-01-01,2024-12-31,5000.0
9,9,Client_9,Main Campaign,2024-01-01,2024-12-31,5000.0
10,10,Client_10,Main Campaign,2024-01-01,2024-12-31,5000.0
11,11,Client_11,Main Campaign,2024-01-01,2024-12-31,5000.0
12,12,Client_12,Main Campaign,2024-01-01,2024-12-31,5000.0
13,13,Client_13,Main Campaign,2024-01-01,2024-12-31,5000.0
14,14,Client_14,Main Campaign,2024-01-01,2024-12-31,5000.0
15,15,Client_15,Main Campaign,2024-01-01,2024-12-31,5000.0
16,16,Client_16,Main Campaign,2024-01-01,2024-12-31,5000.0
17,17,Client_17,Main Campaign,2024-01-01,2024-12-31,5000.0
18,18,Client_18,Main Campaign,2024-01-01,2024-12-31,5000.0
19,19,Client_19,Main Campaign,2024-01-01,2024-12-31,5000.0
20,20,Client_20,Main Campaign,2024-01-01,2024-12-31,5000.0
21,21,Client_21,Main Campaign,2024-01-01,2024-12-31,5000.0
22,22,Client_22,Main Campaign,2024-01-01,2024-12-31,5000.0
23,23,Client_23,Main Campaign,2024-01-01,2024-12-31,5000.0
24,24,Client_24,Main Campaign,2024-01-01,2024-12-31,5000.0
25,25,Client_25,Main Campaign,2024-01-01,2024-12-31,5000.0
26,26,Client_26,Main Campaign,2024-01-01,2024-12-31,5000.0
27,27,Client_27,Main Campaign,2024-01-01,2024-12-31,5000.0
28,28,Client_28,Main Campaign,2024-01-01,2024-12-31,5000.0
29,29,Client_29,Main Campaign,2024-01-01,2024-12-31,5000.0
30,30,Client_30,Main Campaign,2024-01-01,2024-12-31,5000.0
31,31,Client_31,Main Campaign,2024-01-01,2024-12-31,5000.0
32,32,Client_32,Main Campaign,2024-01-01,2024-12-31,5000.0
33,33,Client_33,Main Campaign,2024-01-01,2024-12-31,5000.0
34,34,Client_34,Main Campaign,2024-01-01,2024-12-31,5000.0
35,35,Client_35,Main Campaign,2024-01-01,2024-12-31,5000.0
36,36,Client_36,Main Campaign,2024-01-01,2024-12-31,5000.0
37,37,Client_37,Main Campaign,2024-01-01,2024-12-31,5000.0
38,38,Client_38,Main Campaign,2024-01-01,2024-12-31,5000.0
39,39,Client_39,Main Campaign,2024-01-01,2024-12-31,5000.0
40,40,Client_40,Main Campaign,2024-01-01,2024-12-31,5000.0
41,41,Client_41,Main Campaign,2024-01-01,2024-12-31,5000.0
42,42,Client_42,Main Campaign,2024-01-01,2024-12-31,5000.0
43,43,Client_43,Main Campaign,2024-01-01,2024-12-31,5000.0
44,44,Client_44,Main Campaign,2024-01-01,2024-12-31,5000.0
45,45,Client_45,Main Campaign,2024-01-01,2024-12-31,5000.0
46,46,Client_46,Main Campaign,2024-01-01,2024-12-31,5000.0
47,47,Client_47,Main Campaign,2024-01-01,2024-12-31,5000.0
48,48,Client_48,Main Campaign,2024-01-01,2024-12-31,5000.0
49,49,Client_49,Main Campaign,2024-01-01,2024-12-31,5000.0
50,50,Client_50,Main Campaign,2024-01-01,2024-12-31,5000.0
